,valence,energy,tempo,acousticness,loudness,id
116,0.416,0.47,120.05,0.549,-8.567,2GWKLTkrYqDGdmgm3AgqXn
117,0.323,0.244,84.642,0.914,-13.992,7sgIGtoXhzaR42Wm2Umuku
118,0.803,0.693,116.558,0.272,-11.731,1DmsXjXTjqQZ3kRl4yLvMw
119,0.608,0.644,121.256,0.507,-7.927,1pVyxDpKpmgtgQaRdOGUdH
120,0.954,0.629,91.994,0.188,-9.867,6UbTEJTYdfDq0KSHT6UzEY
121,0.086,0.242,87.452,0.118,-16.537,699lerUa9A4Wfh9S3WJ4K5
122,0.487,0.242,99.58,0.915,-17.964,70NQM5GG7rZHmvl7zzTDbu
123,0.766,0.556,151.1,0.203,-9.78,1QL2yb3tD2zF5I1NAYH3mD
124,0.581,0.418,121.997,0.72,-8.432,73Sk2zDTBUg0PnqAh98gic
125,0.706,0.494,93.892,0.216,-10.395,0Ep0DFUzZayzXbo9aKqqD1
126,0.459,0.709,115.958,0.102,-8.062,2Z0Rnba2lznzW2SeEvayPE
127,0.756,0.591,116.312,0.338,-7.386,2iIIMlxYsdF8qzumg0vXwq
128,0.372,0.534,84.775,0.436,-5.84,0PkFYFPWz9vfSpN5HCIndR
129,0.818,0.668,116.645,0.0435,-8.429,4k6kTLHeSTvtG1vSOGOPEx
130,0.302,0.204,83.646,0.759,-14.561,6tto96r4RO9QdCl3p6PBBC
131,0.597,0.805,131.149,0.101,-4.906,4z4Yncn9OTayQdaln0tvXF
132,0.484,0.891,106.2,0.209,-6.587,0umo8TT1q9CQbOwfjHHK1O
133,0.203,0.299,101.499,0.679,-11.134,5yv9dAX7xkRCzQJudmpWYN
134,0.795,0.693,136.507,0.16,-7.832,6jF3FFsAvliEqH0mWrkOla
135,0.525,0.707,127.7,0.29,-9.392,0Arrnl9EB7LtzPISpNBQQf
136,0.817,0.741,128.104,0.297,-6.549,4MRhEMGSsBTaBX8IBNCe1b
137,0.841,0.499,123.458,0.0589,-6.894,4v75K5mEyumdXCZU09kwAg
138,0.869,0.605,133.748,0.551,-6.14,3gDVdpRQ6wsXScSVmYIWsM
139,0.477,0.334,101.888,0.851,-13.229,6cO6oMK4cVfXb1tZlP3DVt
140,0.468,0.374,102.171,0.822,-14.527,1lwDZyD1jUdsrFxb8vcZGm
141,0.919,0.812,123.934,0.0223,-6.711,0pguOAKeqfnqc52V8slmnN
142,0.902,0.702,125.521,0.33,-6.964,4Qcc8WpppBQKpnYLUVDKDV
143,0.696,0.424,103.776,0.562,-10.802,4OZOtLWAJyBCkQFeIPw7ax
144,0.913,0.548,122.292,0.644,-11.383,1o0NI2MZ3vwLLV0Hl9vqLN
145,0.852,0.4,106.476,0.782,-7.524,5yLnjVsX3B5QAuwtbAnYhf
146,0.207,0.0731,116.476,0.837,-15.393,6bwIa8RuzGNJfbXKURkBKm
147,0.914,0.511,116.922,0.0753,-10.164,4UMRBKywwOyciaHHbA75aI
148,0.734,0.578,124.597,0.453,-6.997,3DzmIYxM1rpzGffkVK51cK
149,0.091,0.277,123.25,0.925,-9.987,5dyH958ip694mJLUmac7Ab
150,0.805,0.634,109.575,0.724,-9.155,5ymVfeMK8cDew5vzntTuc7
151,0.68,0.477,122.369,0.654,-8.961,3NN4WPApckHyTZ6pPoRRWc
152,0.458,0.0903,166.318,0.92,-18.009,2Ppbrh7AxqEmTQ47RcDbxI
153,0.469,0.304,112.131,0.417,-11.536,3l9qohQtmI49pnctMJzIlI
154,0.842,0.859,113.597,0.385,-6.766,3SzTZZi8aNe6EDkuXP1eQl
155,0.807,0.714,131.807,0.762,-8.158,1LuCusyHRvBoatTqAn1PwJ
156,0.316,0.573,116.105,0.0528,-8.934,19P03BZeCThRBGIQHvtHta
157,0.611,0.435,139.418,0.871,-12.186,21Se2xxY6xHPjSXhJIPniy
158,0.962,0.757,136.64,0.3,-6.217,50oyXlMbBYWhx6wzQL85yn
159,0.789,0.593,99.388,0.37,-8.87,1NNftuPggIHO7DNZr7h3xS
160,0.885,0.702,99.334,0.0212,-7.585,0jrfuyBnKk16JbIyhqmVxr
