StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q12_1	Q12_2	Q12_3	Q12_4	Q12_5	Q12_6	Q12_7	Q14_1	Q14_2	Q14_3	Q14_4	Q14_5	Q14_6	Q14_7	Q15_1	Q15_2	Q15_3	Q15_4	Q15_5	Q15_6	Q15_7	Q16_1	Q16_2	Q16_3	Q16_4	Q16_5	Q16_6	Q16_7	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q17_6	Q17_7	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q18_6	Q18_7	Q19_1	Q19_2	Q19_3	Q19_4	Q19_5	Q19_6	Q19_7	Q20_1	Q20_2	Q20_3	Q20_4	Q20_5	Q20_6	Q20_7	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q22_1	Q22_2	Q22_3	Q22_4	Q22_5	Q22_6	Q22_7	Q23_1	Q23_2	Q23_3	Q23_4	Q23_5	Q23_6	Q23_7	Q24_1	Q24_2	Q24_3	Q24_4	Q24_5	Q24_6	Q24_7	Q25_1	Q25_2	Q25_3	Q25_4	Q25_5	Q25_6	Q25_7	Q26_1	Q26_2	Q26_3	Q26_4	Q26_5	Q26_6	Q26_7	Q27_1	Q27_2	Q27_3	Q27_4	Q27_5	Q27_6	Q27_7
2019-05-12 19:43:05	2019-05-12 19:55:41	0	92.251.83.109	100	755	1	2019-05-12 19:55:41	R_2Cy3ppsvfyytXtp					35.8972015380859375	14.465301513671875	anonymous	EN-GB	1	55	2	107	2	classical	36			19	15	15	15	15	15	15	6	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	5	1	1	1	1	1	6	1	1	1	1	1	1	1	6	1	1	6	1	1	1	1	1	1	1	1	1	1	1	6	1	1	6	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6
2019-05-13 07:42:55	2019-05-13 07:54:06	0	95.237.17.189	100	670	1	2019-05-13 07:54:07	R_OHgn5pa80QzisQV					40.851898193359375	14.478302001953125	anonymous	EN-GB	1	55	2	84	1	Pop	36			16	17	15	15	15	15	15	4	3	1	1	1	1	1	1	1	5	1	1	3	3	1	3	3	1	1	4	1	1	1	3	4	4	4	3	1	1	3	4	3	3	3	1	1	3	3	3	3	1	3	1	3	3	3	4	3	3	4	1	1	1	3	1	1	1	4	1	1	4	1	3	3	1	1	1	3	3	1	1	1	3	4	3	1	3	3	1	3	3	4	1	3	1	1	3	3	4	1	1	1	3	3	1	4	1
2019-05-13 10:47:03	2019-05-13 11:22:01	0	49.231.30.16	100	2097	1	2019-05-13 11:22:03	R_3sBbOoEnxM41TEi					16.8332977294921875	100.25	anonymous	EN-GB	1	22	1	172	4	Pop	35	Trumpet	3	18	15	15	16	17	15	15	6	3	1	1	3	1	1	1	4	6	1	1	1	3	1	6	1	1	1	1	1	1	1	1	5	4	1	3	4	1	1	3	4	1	4	1	1	1	1	1	3	3	1	1	1	3	1	5	1	6	3	1	1	1	1	1	1	4	6	1	1	3	3	1	6	4	1	1	4	1	1	1	1	1	3	3	5	4	1	1	4	5	1	1	1	4	3	1	1	5	1	1	4	5	1	1	1	3
2019-05-13 19:01:50	2019-05-13 19:28:11	0	78.133.35.24	100	1581	1	2019-05-13 19:28:13	R_3hoJqrOZzZGbJ4H					35.86669921875	14.5131072998046875	anonymous	EN-GB	1	58	2	107	2	classic	36			15	19	15	15	15	15	15	6	3	1	1	1	1	1	1	1	6	1	1	1	1	1	6	1	1	1	1	1	1	1	1	3	3	6	1	1	1	1	5	6	1	1	1	1	1	6	4	1	1	1	1	1	1	1	1	6	5	6	1	1	1	1	1	1	1	4	1	1	1	6	1	6	3	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	6	1	1	1	1	6	1	1	1	1	1	1	3	1	1	1	6
2019-05-13 20:12:54	2019-05-13 20:21:16	0	92.251.68.215	100	501	1	2019-05-13 20:21:16	R_234wB420KWoBBiL					35.891693115234375	14.4319000244140625	anonymous	EN-GB	1	19	2	107	3	Rock	35	Piano	3	19	15	15	16	15	15	15	6	3	1	3	1	1	1	1	1	6	1	1	1	5	1	6	5	1	1	1	1	3	1	1	6	3	5	3	1	1	1	3	1	3	5	1	1	1	6	3	5	4	3	1	3	4	4	5	5	4	3	1	1	4	5	1	1	1	6	1	1	1	1	1	6	3	1	1	1	1	1	1	1	4	6	5	1	3	1	1	3	6	1	3	1	1	5	1	1	1	6	1	1	5	1	1	1	6
2019-05-14 12:26:09	2019-05-14 12:38:13	0	213.137.3.191	100	723	1	2019-05-14 12:38:15	R_2qBKoZJfIcGDoQc					54.1475067138671875	-4.4824981689453125	anonymous	EN-GB	1	25	1	185	4	Classical	35	Piano	12	17	17	15	15	15	15	16	5	4	1	3	3	1	1	1	4	4	1	1	1	1	3	5	3	1	1	1	1	3	1	3	4	4	5	3	1	1	1	4	4	4	3	3	1	1	3	3	3	3	3	3	1	3	4	5	3	4	4	1	1	3	5	1	1	3	4	1	1	1	3	3	4	3	1	1	1	1	1	1	1	4	4	3	3	3	3	3	1	1	1	1	4	4	4	1	3	1	1	1	3	4	1	1	1	3
2019-05-15 12:24:48	2019-05-15 13:01:37	0	46.11.50.197	100	2208	1	2019-05-15 13:01:38	R_3qgPETkuwks3fIT					35.86669921875	14.5131072998046875	anonymous	EN-GB	1	61	2	107	2	classic	36			15	19	17	15	15	16	15	6	5	1	1	1	3	1	1	3	6	1	1	3	3	1	6	5	1	1	3	1	3	1	1	6	3	5	3	3	1	1	3	6	4	3	1	1	1	6	3	4	3	1	1	4	1	1	4	6	6	5	1	1	3	1	1	1	1	5	1	1	6	3	6	4	1	1	1	3	1	4	1	1	1	6	1	1	4	3	1	1	6	1	4	1	1	4	1	1	6	4	1	1	4	1	1	4	6
2019-05-22 11:05:30	2019-05-22 11:13:47	0	217.71.191.57	100	497	1	2019-05-22 11:13:48	R_3mm1c0v8PG0GOX9					35.9055938720703125	14.476104736328125	anonymous	EN-GB	1	27	2	107	2	Indie-folk, rock, pop	36			18	17	15	15	15	15	15	6	5	1	1	1	1	1	1	1	5	1	1	1	3	4	5	3	1	1	1	1	1	1	1	3	4	3	3	1	1	1	3	1	3	4	1	1	5	1	1	1	3	3	3	3	1	1	1	4	6	3	1	1	1	1	1	1	1	5	1	1	1	4	3	3	4	1	1	1	1	1	1	3	1	1	3	3	1	1	3	1	1	1	3	1	1	4	1	1	1	3	1	1	6	1	1	1	3
2019-05-23 20:58:57	2019-05-23 21:14:54	0	92.251.75.51	100	956	1	2019-05-23 21:14:55	R_vCxNbSHX9nnz1BL					35.912506103515625	14.502197265625	anonymous	EN-GB	1	47	2	107	2	"80s "	36			16	19	17	15	15	15	15	6	5	1	3	3	1	1	1	3	6	1	1	3	4	3	6	5	1	1	3	4	3	1	3	1	5	5	4	3	1	3	5	6	6	1	1	3	6	1	1	1	1	1	3	6	1	1	4	4	6	4	1	1	4	1	1	1	3	3	1	1	6	3	3	4	5	1	1	6	3	3	1	1	4	6	3	1	1	3	3	4	6	4	1	3	5	4	1	1	3	1	1	1	5	3	1	6	3
2019-05-23 21:26:04	2019-05-23 21:41:04	0	77.71.130.26	100	900	1	2019-05-23 21:41:06	R_ApuqG2w2ZnU1q8N					35.8903045654296875	14.4777984619140625	anonymous	EN-GB	1	59	2	107	2	soul, jazz, pop,dance, some rock	36			17	17	15	15	16	15	15	5	4	1	1	3	1	1	1	3	5	1	1	1	1	4	4	1	1	3	1	1	1	1	1	3	3	3	1	1	1	1	5	4	4	3	1	1	4	1	1	4	1	1	1	4	1	1	1	3	4	3	1	1	4	3	1	1	1	5	1	1	3	4	4	3	1	1	3	3	1	1	1	1	4	4	4	3	3	1	1	3	4	3	1	1	1	4	1	1	3	3	1	1	1	4	4	4	1
