"","Track","Category","Level","Album","id","Anger","Fear","Happy","Sad","Tender","Gender","Age","Musicianship","Emotion","Tension","Energy","Valence"
"121",21,"Happy","Moderate","The Rainmaker",3,1,1,8,1,4,"Male",24,1,"Discrete",NA,NA,NA
"122",22,"Happy","Moderate","Batman",3,1,1,7,1,1,"Male",24,1,"Discrete",NA,NA,NA
"123",23,"Happy","Moderate","Shallow Grave",3,1,1,9,1,4,"Male",24,1,"Discrete",NA,NA,NA
"124",24,"Happy","Moderate","Man of Galilee CD1",3,1,1,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"125",25,"Happy","Moderate","Oliver Twist",3,1,1,6,1,3,"Male",24,1,"Discrete",NA,NA,NA
"126",26,"Happy","High","The Omen",3,1,1,6,1,7,"Male",24,1,"Discrete",NA,NA,NA
"127",27,"Happy","High","Oliver Twist",3,1,1,8,1,6,"Male",24,1,"Discrete",NA,NA,NA
"128",28,"Happy","High","Grizzly Man",3,1,1,5,1,7,"Male",24,1,"Discrete",NA,NA,NA
"129",29,"Happy","High","The Portait of a Lady",3,1,1,7,4,8,"Male",24,1,"Discrete",NA,NA,NA
"130",30,"Happy","High","Nostradamus",3,1,3,1,4,5,"Male",24,1,"Discrete",NA,NA,NA
"131",31,"Sad","Moderate","The English Patient",3,1,3,1,8,1,"Male",24,1,"Discrete",NA,NA,NA
"132",32,"Sad","Moderate","Running Scared",3,1,6,1,7,1,"Male",24,1,"Discrete",NA,NA,NA
"133",33,"Sad","Moderate","The Portait of a Lady",3,1,6,1,9,1,"Male",24,1,"Discrete",NA,NA,NA
"134",34,"Sad","Moderate","Big Fish",3,1,1,1,5,1,"Male",24,1,"Discrete",NA,NA,NA
"135",35,"Sad","Moderate","Man of Galilee CD1",3,1,5,1,9,6,"Male",24,1,"Discrete",NA,NA,NA
"136",36,"Sad","High","Angel Heart",3,1,7,1,7,1,"Male",24,1,"Discrete",NA,NA,NA
"137",37,"Sad","High","Batman",3,1,2,1,3,5,"Male",24,1,"Discrete",NA,NA,NA
"138",38,"Sad","High","Dracula",3,1,1,1,2,4,"Male",24,1,"Discrete",NA,NA,NA
"139",39,"Sad","High","Shakespeare In Love",3,1,6,1,8,6,"Male",24,1,"Discrete",NA,NA,NA
"140",40,"Sad","High","The English Patient",3,1,1,7,7,7,"Male",24,1,"Discrete",NA,NA,NA
"141",41,"Tender","Moderate","Shine",3,1,1,6,1,8,"Male",24,1,"Discrete",NA,NA,NA
"142",42,"Tender","Moderate","Pride & Prejudice",3,1,5,1,6,8,"Male",24,1,"Discrete",NA,NA,NA
"143",43,"Tender","Moderate","Dances with Wolves",3,1,1,7,1,9,"Male",24,1,"Discrete",NA,NA,NA
